"","owner","amount_token"
"1","0x05467836a6cb9fa2a52706db130f2cd3350d84dd",43987.5
"2","0x0725a084d97328dbba684d0f995162f6ee30006d",23580.627125
"3","0x07739dfc55e8643960c7cf987d9258c087cab976",11881.2875
"4","0x0b029f7b3dde3d77a079a8be8cf5beda66edd4df",3608.13
"5","0x0d413542e648034f704394646f5ffb12022fc8d5",13394
"6","0x0f4455e082b96fde25ceafc06d5a08d85b14a43a",1378.75
"7","0x0f7f692bceb3255e344647aa0088abf08fd5f311",1467.65625
"8","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",28179.28375
"9","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",25497.71875
"10","0x1242d7e7c5d3c453fb601a2cc9db06aac832b1ab",4016.25
"11","0x1261632966f8eb36d7fbb336d3e324ddb3d99b9e",2920
"12","0x13aff8dbeb98a8a90145668883b044c5edcd4d22",10075
"13","0x157670de008ec0d44bed498abcf80a6c94c6f4fd",1321.425
"14","0x15870af7a292ad698827182fdd11b083298a9990",22856.4375
"15","0x15943e1951e0e3803cb62121315507fb5b054787",8202.82875
"16","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",10508
"17","0x183aec83633dacd2501516a49f436283ee5ad100",19525.948875
"18","0x189dd12ea4ea3d3e562882add73c6f0a23439999",4443.1975
"19","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",28815.278
"20","0x1c496ed78215eac4978f02cca335ff3a358e1f35",21656.12125
"21","0x1daf42373baf8c483aa8565a8584bc39ff4b58e2",8133.92875
"22","0x1dbac10d2db0263dbd6cb98cb4bf10f0d4bbec9f",2313.4625
"23","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",6667.21
"24","0x200f28a82317d84cd2932e4b6e7a9aa0376053d6",1067.5125
"25","0x22ba795aa1223f0c8fae2932f16f4b1f8b573163",15441.4075
"26","0x24f3e8c9ec86851151a50efee1650b48425aa51b",1771.160125
"27","0x2516b0ace669024178c47fe07dc288def36512cd",2286.31375
"28","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",15286.795
"29","0x2e3bc8f3f3777481ac646d7e25ad06abf0abf873",6066.25
"30","0x36d00dd95955298e930feacb105dab57990b8b86",4514.42179999999
"31","0x3aeedcd329e91e352d6c3d42c2b90d4e33a9e7d5",1311.25
"32","0x3c2638dd1f80de379287dc171c27f2b5e56fc533",33041.18
"33","0x3d8f745e9c76b50ba9e43bf5a7ed80b5980272f8",20578.5
"34","0x3e5a25490c18bc3ecb45097fba663c0dd9d5a9fc",4410
"35","0x466f92bb211d12794b5b0c78438864079e2cbfd5",61184.8125
"36","0x468e68f95216fb8759406fc8a9bbee10498e9281",646954.22625
"37","0x4767d3dc92eede24b0745644290f58a8ccf41035",4378.75
"38","0x47bbe214a4bc6bb2b2896eb280422af0c4198313",3602.18
"39","0x53ffb1e7d0a4367227c7a5b7f4e25c68db8aaa31",3514.84375
"40","0x5496c8a338419aff9a68a86d9a3585c62b9c9e1c",8367.70874999999
"41","0x5da53876a2b37b49ee42c34522c9fced42047658",16133.26875
"42","0x5eb1b8fcd1710b77f17df2a46dff9bf983a7b43c",7055.87875
"43","0x5f90ebc41c07089502a32d683480ea3fe2410d34",26610.92875
"44","0x629cbcaaae418da37f4ed34f13637f809f75278b",1315.6810864975
"45","0x62ea30cfe51b1d1e7f0a8d3244af46b3a91332f1",1106.25
"46","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",28163.308375
"47","0x6ac3d74b3e255ff48ae9d8e1b6c8bc9afdfa4cbd",25307.95059375
"48","0x6d466e9b82deb578a96159a9aa3e03425dfb725f",5584.8
"49","0x6dbe1cebf019ac24a1966762097f873d0df25738",29026.40422625
"50","0x70b7b7e027ef6f528930a11a6bbb3c9b007443db",1317.534255
"51","0x7130f38655c04edb772a663b026caa5eaab42598",4233.75
"52","0x71e487b7a21fb9a34f7d983f71301c7f68322cb1",1041.25
"53","0x77634ebd77c039fcb17f6320006d6a2729c4fb78",2320.238575
"54","0x78dda0b5bc5e270769bd43a3aa57f90276728edb",1901.1643625
"55","0x7a75f008c92d94761ff156ef54d99133f3054be4",41904.96125
