Address,# Winning ticket,GLMR Won,Total GLMR Staked
地址,中奖奖券数,合计中奖GLMR数,快照时质押数量
0x468e68f95216fb8759406fc8a9bbee10498e9281,24,613.2,395180.0
0xc4708a97009d5eabd3b06570c0de11061214c80f,9,229.95,200000.0
0x9992fc085d5b5fe8c62438d81ffa7903ed8343ad,10,255.5,184819.8
0x87347848cb4e4dbaa41aeb2ff1e12e0c9223f843,4,102.2,100000.0
0x316c073c392cc95df1a0e6f509d618a2ea64b4e0,3,76.65,100000.0
0x648ade0b52627743f972b865a19c519b8b78b8df,7,178.85,100000.0
0x466f92bb211d12794b5b0c78438864079e2cbfd5,4,102.2,88050.0
0xb58151988ca9985057af2db0577aa4a3e3234aac,5,127.75,80000.0
0xedd585b2ea9406eb769b09af53333a82f53af035,2,51.1,61160.0
0x66acda15d3c3ce3be3fe9c57b6f03e95229f4f9a,5,127.75,52195.0
0xaf27ad88c944c3f322edffa802cfdbf9811b6bb8,3,76.65,51458.0
0xabe4e6974a87b01b7099323bd986079bd35494f9,1,25.55,50000.0
0x3c2638dd1f80de379287dc171c27f2b5e56fc533,2,51.1,31959.0
0x3d8f745e9c76b50ba9e43bf5a7ed80b5980272f8,2,51.1,30059.0
0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631,2,51.1,28422.0
0x80716b040fb9bfa0af28a57b25a7d338827d77ed,2,51.1,21478.0
0x8a66dd55a077c3590387a1e226adc452564cba21,1,25.55,20600.0
0x2f980b046509d8ff974ff34333a32c305429b01e,1,25.55,20522.0
0x6dbe1cebf019ac24a1966762097f873d0df25738,2,51.1,20449.0
0x5f90ebc41c07089502a32d683480ea3fe2410d34,1,25.55,17505.0
0x67fa73cb67a4d961c0d14faf45483899192d8ac3,1,25.55,13056.0
0x22ba795aa1223f0c8fae2932f16f4b1f8b573163,1,25.55,12941.0
0xb2c9aa0dab5797ec17eb99c7006b8db224e916ba,1,25.55,11168.0
0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd,2,51.1,10284.0
0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c,3,76.65,5100.0
0xd3cd1bce062483536b97c47221c165a9fe3b4716,1,25.55,2445.0
0xc7e86ff1d8403e5fe1a9b2644f8935d6a328fa16,1,25.55,1182.0
