,owner,amount_token
59,0x05467836a6cb9fa2a52706db130f2cd3350d84dd,30000.0
11,0x0725a084d97328dbba684d0f995162f6ee30006d,11151.94
49,0x0d413542e648034f704394646f5ffb12022fc8d5,8075.0
33,0x0f4455e082b96fde25ceafc06d5a08d85b14a43a,1000.0
35,0x0f7f692bceb3255e344647aa0088abf08fd5f311,1001.0
19,0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd,10284.0
38,0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2,7600.0
37,0x189dd12ea4ea3d3e562882add73c6f0a23439999,2100.0
3,0x1e31bd603ce6591d2bd64d13443169ec9ee99ab4,1088.0
28,0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15,4500.0
44,0x22ba795aa1223f0c8fae2932f16f4b1f8b573163,12941.0
1,0x2dd4c1a081f3ce58217bf12edd297361b17b9c97,10094.0
60,0x2f980b046509d8ff974ff34333a32c305429b01e,20522.0
68,0x316c073c392cc95df1a0e6f509d618a2ea64b4e0,100000.0
71,0x37ce3b280fe03a7f7b83a3038ce2ae479b44fda6,
17,0x3c2638dd1f80de379287dc171c27f2b5e56fc533,31959.0
65,0x3d8f745e9c76b50ba9e43bf5a7ed80b5980272f8,30059.0
66,0x466f92bb211d12794b5b0c78438864079e2cbfd5,88050.0
2,0x468e68f95216fb8759406fc8a9bbee10498e9281,395180.0
34,0x53ffb1e7d0a4367227c7a5b7f4e25c68db8aaa31,1355.0
56,0x5496c8a338419aff9a68a86d9a3585c62b9c9e1c,1000.0
7,0x54ba9db84b9611b49549ae15c9d4421d8c991ca4,1627.0
27,0x555e0e1dabd9bdb568a1d1357dedcefc21c3e25f,1470.0
4,0x570cf55ab6e822e8fc7045a1aa5ee5d5d00484e8,3249.2
30,0x5f90ebc41c07089502a32d683480ea3fe2410d34,17505.0
63,0x648ade0b52627743f972b865a19c519b8b78b8df,100000.0
14,0x66acda15d3c3ce3be3fe9c57b6f03e95229f4f9a,52195.0
6,0x67fa73cb67a4d961c0d14faf45483899192d8ac3,13056.0
51,0x6dbe1cebf019ac24a1966762097f873d0df25738,20449.0
74,0x7130f38655c04edb772a663b026caa5eaab42598,3000.0
53,0x74e7063ee49e3210e256d72e9ffa8dba54a67039,5074.2
52,0x7a892e2877fec2fc996560d496fee79707a685af,1247.0
9,0x7ad20ff84bd0a420f1163457c9d2616f58c5e916,
47,0x7c38d5055949c46e9a411c49e9142a1337462d69,428.82
22,0x7dd400917b8e737518af9a14eb1a415b1d2b98c4,1001.0
46,0x7fc6588946e151bb8605ca470753d8ad31346a98,3031.0
21,0x80716b040fb9bfa0af28a57b25a7d338827d77ed,21478.0
67,0x87347848cb4e4dbaa41aeb2ff1e12e0c9223f843,100000.0
73,0x8a66dd55a077c3590387a1e226adc452564cba21,20600.0
18,0x8bb820c251ac194ca770f9f0cdc12b76354e3de6,4100.0
8,0x91ce179c24baeeb502fddbbff4cdb71aedffffae,8521.0
50,0x9820e0063af1be788b31d7906453149511e92e24,1250.0
16,0x9992fc085d5b5fe8c62438d81ffa7903ed8343ad,184819.8
69,0x9b4a72c67215bdaeb6e14f101871824131787d20,21563.0
29,0xaa90f1a29a8b15a89d9d58b5d4bb50a54a24be5e,1800.0
41,0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c,5100.0
72,0xabe4e6974a87b01b7099323bd986079bd35494f9,50000.0
26,0xaf27ad88c944c3f322edffa802cfdbf9811b6bb8,51458.0
0,0xb2c9aa0dab5797ec17eb99c7006b8db224e916ba,11168.0
64,0xb58151988ca9985057af2db0577aa4a3e3234aac,80000.0
55,0xba0b50d71ed3c2b9aefd91fd304f3b49a28df40c,11900.0
43,0xbfdc403a22a073b36489aa0255784442ee8ba450,9000.0
62,0xc24bed939591f165749e9777ff1f888d6b1ef950,206.0
61,0xc4708a97009d5eabd3b06570c0de11061214c80f,200000.0
20,0xc4cf3cd0f841c6f5affa1b642166d157abd3d5d6,12000.0
24,0xc7e86ff1d8403e5fe1a9b2644f8935d6a328fa16,1182.0
15,0xc92eb3f64444377b3d2d103b78d22e28e6b8d88a,3000.0
32,0xd3cd1bce062483536b97c47221c165a9fe3b4716,2445.0
39,0xd5ba5cbd603df4d7006aadeb5c3828fe0f21e8fb,1030.0
57,0xd6ebf9d4972c453b8ff653dcd1b138392ecd1a9c,2000.0
12,0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631,28422.0
54,0xd8e3b302b03d739bb94291aca58f006a072425a7,
40,0xde10c4a242af497479816b2144c1d78838c7c796,1020.0
23,0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2,10253.0
36,0xe442145711bf3c56452f0dcc730f3ad65ce230cc,5000.0
70,0xe58f6fbfb74aa04dee7b259979b10d1646eba3e0,
10,0xebd7b32d8994a1f360183e41071e384e8fbec3fe,30940.0
13,0xedd585b2ea9406eb769b09af53333a82f53af035,61160.0
48,0xefceb3fd8c93473ab6444514274f996d8393023c,1010.0
25,0xf03e063f62fd228cd25c026cfff7f032d7b75aab,4128.0
45,0xfb6aba0267d236b85dd5ef81921d2ede69046de5,3526.0
31,0xfec33dff5871971eaa32ca34fc3229f8f12c8b13,2885.0
