"","owner","amount_token"
"1","0x0725a084d97328dbba684d0f995162f6ee30006d",27656.0038875
"2","0x07739dfc55e8643960c7cf987d9258c087cab976",13387.88375
"3","0x0b029f7b3dde3d77a079a8be8cf5beda66edd4df",4378.7775
"4","0x0d413542e648034f704394646f5ffb12022fc8d5",14931.5
"5","0x0f4455e082b96fde25ceafc06d5a08d85b14a43a",1532.5
"6","0x0f7f692bceb3255e344647aa0088abf08fd5f311",1621.56000000001
"7","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",31639.58125
"8","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",48553.78
"9","0x1242d7e7c5d3c453fb601a2cc9db06aac832b1ab",4477.5
"10","0x1261632966f8eb36d7fbb336d3e324ddb3d99b9e",3227.5
"11","0x13aff8dbeb98a8a90145668883b044c5edcd4d22",30250
"12","0x157670de008ec0d44bed498abcf80a6c94c6f4fd",1542.55875
"13","0x15870af7a292ad698827182fdd11b083298a9990",25931.4375
"14","0x15943e1951e0e3803cb62121315507fb5b054787",9481.867375
"15","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",12746.75
"16","0x183aec83633dacd2501516a49f436283ee5ad100",22419.78
"17","0x189dd12ea4ea3d3e562882add73c6f0a23439999",5066.97
"18","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",32597.528
"19","0x1c496ed78215eac4978f02cca335ff3a358e1f35",24631.45
"20","0x1daf42373baf8c483aa8565a8584bc39ff4b58e2",9173.125
"21","0x1dbac10d2db0263dbd6cb98cb4bf10f0d4bbec9f",3571.35
"22","0x1f0047ad5e5ba9963f9430b2306b6856aa5b9b15",5040
"23","0x200f28a82317d84cd2932e4b6e7a9aa0376053d6",1065.55
"24","0x22ba795aa1223f0c8fae2932f16f4b1f8b573163",12546.56125
"25","0x24f3e8c9ec86851151a50efee1650b48425aa51b",2166.529
"26","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",17234.2975
"27","0x2e3bc8f3f3777481ac646d7e25ad06abf0abf873",6835
"28","0x36d00dd95955298e930feacb105dab57990b8b86",5050.40044999999
"29","0x3aeedcd329e91e352d6c3d42c2b90d4e33a9e7d5",2565
"30","0x3c2638dd1f80de379287dc171c27f2b5e56fc533",15485.3825
"31","0x3e5a25490c18bc3ecb45097fba663c0dd9d5a9fc",4871.25
"32","0x466f92bb211d12794b5b0c78438864079e2cbfd5",67803.75
"33","0x47bbe214a4bc6bb2b2896eb280422af0c4198313",5171.36
"34","0x48c51e68bd96d8356c4819e51f6714d33d4ac576",5954.17625
"35","0x49d443d89da0712b1d608eeaedef2650ab8b2206",22925
"36","0x5496c8a338419aff9a68a86d9a3585c62b9c9e1c",9332.18249999998
"37","0x5da53876a2b37b49ee42c34522c9fced42047658",19689.2475
"38","0x5eb1b8fcd1710b77f17df2a46dff9bf983a7b43c",5070.86250000001
"39","0x5f90ebc41c07089502a32d683480ea3fe2410d34",29714.705
"40","0x629cbcaaae418da37f4ed34f13637f809f75278b",1531.3639319875
"41","0x62ea30cfe51b1d1e7f0a8d3244af46b3a91332f1",1260
"42","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",32172.72925
"43","0x6cd5a004948c2f6298da3d733e8e4a4ad88fe9d6",1060.8675
"44","0x6d466e9b82deb578a96159a9aa3e03425dfb725f",29393.256
"45","0x6dbe1cebf019ac24a1966762097f873d0df25738",32749.96140625
"46","0x7130f38655c04edb772a663b026caa5eaab42598",4695
"47","0x71e487b7a21fb9a34f7d983f71301c7f68322cb1",1214.26625
"48","0x75203bc03125befff8aed3b9fd687d8818a8b2e1",1646.15
"49","0x77634ebd77c039fcb17f6320006d6a2729c4fb78",3708.992225
"50","0x78dda0b5bc5e270769bd43a3aa57f90276728edb",3219.8975
"51","0x7a75f008c92d94761ff156ef54d99133f3054be4",47430.12375
"52","0x7a892e2877fec2fc996560d496fee79707a685af",3018.11125000001
"53","0x7dd400917b8e737518af9a14eb1a415b1d2b98c4",1547.79625000001
"54","0x7e4539fee52bf80790e503b4f8e1fa2802713480",5170.63
"55","0x897c3f4be2a39b63267cfa23a1158fb5331cdd12",11028.4675
"56","0x8a1ea5e919806924042b7e3140faf87ef2024853",16469.11125
"57","0x8a66dd55a077c3590387a1e226adc452564cba21",5318.75
"58","0x8b312e24718acf73e7036cfedd20c54d61675f11",37975.045
"59","0x8bb820c251ac194ca770f9f0cdc12b76354e3de6",10740.1
"60","0x8e50e4f1607b2f2964123757287442ef179470f9",3031.5875
"61","0x8f2ed6e59a27a96277b233eea9a0f0f460ccae31",48293.408325
"62","0x948104e6c65cbdcf599ffc6cd49181bafd8a446e",29291.5575
"63","0x95ef80e697618ca49e0b9967103b5f3efdb0144a",2038.56
"64","0x96cc80292fa3a7045611eb84ae09df8bd15936d2",6544.07641064
"65","0x98d142a1039ff6384bbc07c6231708e14b24a96d",28053.88925
"66","0x9992fc085d5b5fe8c62438d81ffa7903ed8343ad",261246.773750001
"67","0xa13a8b8039b6e8e26b1763b0e7e9ec992a73b996",4848.225
"68","0xa27a729443ad105cabbc5d2d7f877a5340aa3e69",5367.40249999999
"69","0xa2d30f8da3da69ab08d8ac7553c6575701747aa8",2119.36250000001
"70","0xa36dd9897d3464961d1a7ec39b9fe91b6ade3204",4477.75
"71","0xa8ac9c0403d8a31cfc1bf43e09231c0ffaf52dd7",2597.5025
"72","0xa97e5e5016a491a2814cfd179cb3bf0a0665b953",6980.635
"73","0xa9da3474eafab14ac6c9f6111acb2d2e5e071370",5287.775
"74","0xaa90f1a29a8b15a89d9d58b5d4bb50a54a24be5e",2072.25
"75","0xaab74d9a2fa5aa3d021b870dd6e8c1e467346ed6",6289.4275
"76","0xab0211d3c1ee22c9e0c727964318b366517b4658",2121.6525
"77","0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c",8058
"78","0xb2c9aa0dab5797ec17eb99c7006b8db224e916ba",18819.85875
"79","0xb5a1447f788016cb4b1f9adb9d57970d0ec4fdef",4435
"80","0xb8167d9a4e7a4eaf4fdcdfa60f3d78f15afcc98a",3548.40467515625
"81","0xbb8421f2e9dc8b503711f70e051e19ea4b30f5cb",1599.125
"82","0xbfdc403a22a073b36489aa0255784442ee8ba450",2768.37525
"83","0xc1a95655ad8d40e8cdf4f9f29c3a6946932f4294",3476.46875000001
"84","0xc4708a97009d5eabd3b06570c0de11061214c80f",81187.5
"85","0xc4cf3cd0f841c6f5affa1b642166d157abd3d5d6",18840
"86","0xc6b3e413b3f7d2cb67191f806f8dfdb4a9d60ac7",23072.348801205
"87","0xc7e86ff1d8403e5fe1a9b2644f8935d6a328fa16",3438.46875
"88","0xc92eb3f64444377b3d2d103b78d22e28e6b8d88a",6063.375
"89","0xd23a9b7eaf27b521880337b19edcf13cb6b26dff",8118.75
"90","0xd3cd1bce062483536b97c47221c165a9fe3b4716",5183.28
"91","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",68178.96875
"92","0xd5ba5cbd603df4d7006aadeb5c3828fe0f21e8fb",1958.83875
"93","0xd6ebf9d4972c453b8ff653dcd1b138392ecd1a9c",9866.361875
"94","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",76275.272375
"95","0xd8e3b302b03d739bb94291aca58f006a072425a7",14565.92
"96","0xda13157f47929bced94ce06ef8cbef70328981fc",11714.5
"97","0xdade1fab569f2f670b5eb4821d92207e16a70d1b",1461.9825
"98","0xdb524edbd32517881cdda248fedbf9aee526b38b",10868.8780125
"99","0xde10c4a242af497479816b2144c1d78838c7c796",4792.0075
"100","0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2",13447.993125
"101","0xe442145711bf3c56452f0dcc730f3ad65ce230cc",15757.7375
"102","0xe4de83fdbc4b9352deeab80a1b03a2da99e5a4a4",2633.804875
"103","0xe7e2d3a9b6bf82efa164441f31dd017b24a21ec0",7356.0875
"104","0xe9cbe0f9cbee09873b4dcf968a82e3ae6b9e7065",53043.7962500001
"105","0xecdcbc4a9107f250ab91519f05d6b9c5e43429f7",3653.185
"106","0xede25f41e2c28708be61b583cc9cb6771e113fbe",101284.0625
"107","0xf03e063f62fd228cd25c026cfff7f032d7b75aab",9232.055
"108","0xf7c25631a136a3eea815ee49df01385fe0618b89",1543.9339375
"109","0xf8fb1b69aabd14fc11b96f4dc60bf51a35ba0897",18865.5825
"110","0xfad4a2d4c72733e82124139e41161152771a4d9d",4729.52625
"111","0xfc0feae0323c77dfe9861f45436a986f8999ebfb",7043.30625
"112","0xfe5563cd4a9528a472584ef49ed66faf4d484856",4618.87125
"113","0xfec33dff5871971eaa32ca34fc3229f8f12c8b13",2237.5
