"","owner","amount_token","bonus"
"1","0x000c7612303e3cb05aff68d3af1056954b26feb4",10000,5012.5
"2","0x0052bbdd26c78d5046a3d5eaa47eb84da78332a3",8153,2242.075
"3","0x00c0c72a1d45bb3704a9358282eec06746447778",3149,229.635
"4","0x00d04064b84599777e82130ce7369b9aedef0c64",0,0
"5","0x00feb32379a84bc54fafefc9e3faa03e626892f8",1100,624.25
"6","0x014032bd5d26d3208a8ff182aa3a139117f0438b",1000,466.25
"7","0x03f01a222c120923161bbc933c57276dd7c4f743",5500,2728.75
"8","0x040509d1168258496171ba8817500c46d6cdafca",0,0
"9","0x060b6e57c4fa6d4828051c6ccfae46149f2e1076",10861,5078.72750000001
"10","0x0680acf7ecce952bb54a7156e35446cbfc3a74c5",10000,4050
"11","0x070195706211c4c2ae5134329974f5748bcb8933",4000,230
"12","0x0725a084d97328dbba684d0f995162f6ee30006d",20628.47,7027.5338875
"13","0x0766053f1db632a0b29c5cbed33f12ee2875823c",2275,408.53125
"14","0x07685e1481b32a92d9cc264d86d024da9d5e94c3",1104,282.899999999999
"15","0x07739dfc55e8643960c7cf987d9258c087cab976",9799,3588.88375000002
"16","0x08cabc82bded9f25608df3c86fb4c754b80afede",3000,1721.25
"17","0x098bede5133f6da3d3d8fadc046d26980cc1ec50",1900.6,607.990375000001
"18","0x09ed6bf81372f212802a39e79c947194eb746b17",1551,313.16875
"19","0x0ad97b07d12524b521e0a4dc37d29d868e2359b8",1466,244.99125
"20","0x0b029f7b3dde3d77a079a8be8cf5beda66edd4df",3268,1110.7775
"21","0x0bf7a71a22b7ba291bf8ea3661f1d590515fc1ca",10425,6437.4375
"22","0x0c1633e0ba164a9def56d86d7c46afcbe4d28a77",1400,285.25
"23","0x0d08ca3bd68288cd1e3bbdd73c4bc0d8193add4c",751,0
"24","0x0d1bb2df143dc19b2abc6511cad79379e9b0e34c",5000,2175
"25","0x0d413542e648034f704394646f5ffb12022fc8d5",10000,4931.5
"26","0x0e9592026d936e0a9cc56fc6105736be5443029d",0,0
"27","0x0ea84866f5b23c6d16f6008316868f1a821384ed",1000,190
