"","address","amount_token","bonus","total","prize","prize_GLMR","new_vest"
"1","0x00347a5a6129c110cd302ff018fd81804e010705",4649.8,502.176375,5151.976375,1,25.55,0
"2","0x0725a084d97328dbba684d0f995162f6ee30006d",21031.47,10023.18745,33035.0772573008,2,51.1,25.55
"3","0x0f7f692bceb3255e344647aa0088abf08fd5f311",1001,764.45375000001,1765.45375000001,1,25.55,0
"4","0x0fb437eb9617e62d56ef95181f0c9ba8ea782abd",23000,12399.0762499999,37954.0762499999,3,76.65,51.1
"5","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",38653,15457.1487499998,59220.1487499998,2,51.1,25.55
"6","0x15870af7a292ad698827182fdd11b083298a9990",20000,8806.43749999999,28806.4375,1,25.55,0
"7","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",10436,5096.2775,15358.4598395786,2,51.1,25.55
"8","0x183aec83633dacd2501516a49f436283ee5ad100",16632.5,8529.704375,25162.204375,3,76.65,51.1
"9","0x189dd12ea4ea3d3e562882add73c6f0a23439999",3679,2011.92875,5739.50531250002,1,25.55,0
"10","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",25510,11560.8779999999,42180.8779999999,1,25.55,0
"11","0x1c496ed78215eac4978f02cca335ff3a358e1f35",18505,9056.09124999997,27561.09125,2,51.1,25.55
"12","0x1daf42373baf8c483aa8565a8584bc39ff4b58e2",6759,3385.73125000001,12699.73125,1,25.55,0
"13","0x36d00dd95955298e930feacb105dab57990b8b86",3486.04,2065.47869999998,5551.51869999998,1,25.55,0
"14","0x3e5a25490c18bc3ecb45097fba663c0dd9d5a9fc",3000,2302.5,5302.5,2,51.1,25.55
"15","0x466f92bb211d12794b5b0c78438864079e2cbfd5",43050,30942.1875,86767.1875,3,76.65,51.1
"16","0x49d443d89da0712b1d608eeaedef2650ab8b2206",20000,5800,25800,1,25.55,0
"17","0x53d4298e9fd219759b8fbbc9ed04b99a8eca4889",18500,2405,20905,2,51.1,25.55
"18","0x5f90ebc41c07089502a32d683480ea3fe2410d34",19029,13812.355,32841.355,1,25.55,0
"19","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",22326.8,13531.5971249999,35858.3971249999,1,25.55,0
"20","0x6d466e9b82deb578a96159a9aa3e03425dfb725f",5317.8,1947.17500000001,7264.97500000001,1,25.55,0
"21","0x6dbe1cebf019ac24a1966762097f873d0df25738",22276.028,14104.13368125,36380.16168125,1,25.55,0
"22","0x7130f38655c04edb772a663b026caa5eaab42598",3000,2126.25,5126.25,1,25.55,0
"23","0x7a75f008c92d94761ff156ef54d99133f3054be4",23095,14652.1475000001,42857.1475000001,3,76.65,51.1
"24","0x7a892e2877fec2fc996560d496fee79707a685af",2080,1237.11125,3317.11125,2,51.1,25.55
"25","0x8b312e24718acf73e7036cfedd20c54d61675f11",30000,11962.5,41962.5,1,25.55,0
"26","0x948104e6c65cbdcf599ffc6cd49181bafd8a446e",20003,12163.98875,32166.98875,2,51.1,25.55
"27","0x96cc80292fa3a7045611eb84ae09df8bd15936d2",13898.346791,3999.125161235,17897.471952235,1,25.55,0
"28","0x98d142a1039ff6384bbc07c6231708e14b24a96d",21282.2,9831.00549999995,31113.2054999999,1,25.55,0
"29","0x9992fc085d5b5fe8c62438d81ffa7903ed8343ad",99988,72989.8387500004,208747.83875,7,178.85,153.3
"30","0xa27a729443ad105cabbc5d2d7f877a5340aa3e69",3715,2186.43374999999,5901.43374999999,1,25.55,0
"31","0xa8a15e8d8061285758cbed91bb22cea46edf87d0",54287.7,2503.093875,56790.793875,4,102.2,76.65
"32","0xa97e5e5016a491a2814cfd179cb3bf0a0665b953",12414,1950.99125,14364.99125,3,76.65,51.1
"33","0xab0211d3c1ee22c9e0c727964318b366517b4658",1639,718.258749999999,2365.05884453781,1,25.55,0
"34","0xc4708a97009d5eabd3b06570c0de11061214c80f",51257,38481.845,102513.845,5,127.75,102.2
"35","0xc4cf3cd0f841c6f5affa1b642166d157abd3d5d6",12000,8565,20565,1,25.55,0
"36","0xc6b3e413b3f7d2cb67191f806f8dfdb4a9d60ac7",32023.099943,8535.90173751128,38553.0671754772,3,76.65,51.1
"37","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",65666,23141.98375,99027.98375,8,204.4,178.85
"38","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",52000,32021.594875,101906.594875,5,127.75,102.2
"39","0xda13157f47929bced94ce06ef8cbef70328981fc",13000,5446.0625,19704.7951388889,2,51.1,25.55
"40","0xe01e6c27218765b9e0ef42546a2c0237bb4c54e2",19257.5,5329.44000000004,24586.94,2,51.1,25.55
"41","0xe442145711bf3c56452f0dcc730f3ad65ce230cc",10434,6823.62499999998,17257.625,1,25.55,0
"42","0xe4de83fdbc4b9352deeab80a1b03a2da99e5a4a4",2346.9,660.518624999995,3007.418625,1,25.55,0
"43","0xe7e2d3a9b6bf82efa164441f31dd017b24a21ec0",9570,2851.11250000002,12421.1125,1,25.55,0
"44","0xe9cbe0f9cbee09873b4dcf968a82e3ae6b9e7065",35412,24003.6712500001,58178.2234758453,2,51.1,25.55
"45","0xede25f41e2c28708be61b583cc9cb6771e113fbe",78600,33982.8125,120247.8125,5,127.75,102.2
"46","0xf8fb1b69aabd14fc11b96f4dc60bf51a35ba0897",17591,7144.91375,24735.91375,2,51.1,25.55
"47","0xfad4a2d4c72733e82124139e41161152771a4d9d",3773,1565.43125,5338.43125,1,25.55,0
"48","0xfc0feae0323c77dfe9861f45436a986f8999ebfb",6423,1613.78375,10591.78375,1,25.55,0
